step,fitness,genome
0,85.34994,"[0 1 2 1 1 3 2 1 3 1 3 2 1 1 4 2 2 3 1 1 1 3 1 2 2 2 2 0 1 1 1 1 1 2 0 3 1
 1 2 1 2 3 2 3 4 0 4 2 2 3 3 2 3 3 2 3 3 2 3 4 2 3 3 1 2 2 3 3 3 2 3 0 1 3
 2 1 4 1 2 1 4]"
1,117.05027,"[3 1 2 1 1 2 2 1 3 1 1 2 4 1 1 2 2 4 1 1 1 1 1 2 2 3 2 0 1 2 1 1 3 2 1 3 1
 1 2 1 2 3 2 3 3 2 2 2 2 3 3 2 2 3 2 2 3 2 3 3 2 3 3 1 2 2 3 3 3 2 3 3 1 2
 2 1 1 3 2 3 4]"
2,112.25126,"[4 1 0 4 1 3 2 1 3 0 3 2 1 4 3 2 2 3 1 1 1 3 4 2 3 2 2 0 1 1 4 1 2 2 0 3 2
 1 1 1 2 1 2 3 4 0 2 2 1 3 3 2 3 1 2 3 0 2 3 4 2 3 1 2 2 2 3 3 3 2 2 0 1 3
 2 1 4 2 2 1 0]"
3,94.38792,"[0 1 0 1 1 2 2 1 3 1 1 2 4 1 1 4 2 4 1 1 1 1 1 2 2 3 2 2 1 2 1 1 4 2 1 3 1
 1 2 1 2 3 3 3 4 2 2 2 2 3 3 2 2 3 2 2 3 2 3 3 2 3 3 0 2 2 1 3 3 2 3 3 1 2
 2 1 1 3 2 3 2]"
4,184.9184,"[3 3 4 1 1 4 2 3 3 1 4 2 1 1 1 0 3 3 4 1 2 1 1 4 2 1 3 0 0 0 0 1 3 0 1 3 1
 1 2 1 2 3 2 3 3 2 4 2 2 3 4 4 1 0 0 3 4 2 3 0 2 1 3 1 0 2 0 3 3 2 3 3 2 3
 2 1 0 3 2 1 4]"
5,175.37488,"[3 3 2 1 1 4 2 3 3 1 4 1 1 1 1 0 3 3 4 1 3 1 1 3 2 1 3 0 2 2 0 1 3 1 1 2 1
 1 2 1 2 3 2 3 3 4 3 2 2 3 4 4 1 3 0 3 4 2 3 0 2 1 3 1 0 2 2 3 3 2 3 3 2 1
 2 2 2 3 2 1 4]"
6,221.49036,"[1 1 3 1 2 4 3 1 3 1 4 0 1 1 3 0 4 1 1 1 1 1 1 2 2 3 2 0 2 2 1 1 3 1 2 2 1
 0 2 1 2 3 2 3 2 2 2 2 2 3 0 2 1 3 2 2 1 2 1 4 2 3 4 1 2 0 3 4 3 2 3 3 2 2
 2 1 1 2 2 1 2]"
7,225.95483,"[2 0 0 0 1 2 2 4 3 1 1 0 0 1 1 1 4 4 2 2 1 0 1 2 3 0 3 0 1 2 1 1 4 2 1 3 1
 1 2 0 2 3 3 3 4 3 2 4 3 3 4 1 3 2 1 2 4 2 0 2 4 3 3 3 2 1 1 3 3 2 2 3 1 4
 3 0 1 1 2 2 2]"
8,150.32645,"[2 0 2 3 1 2 2 4 3 3 1 0 0 1 1 1 4 4 2 2 0 0 1 2 3 0 3 0 1 2 0 1 3 2 1 3 1
 1 2 0 2 3 3 3 4 3 2 2 3 3 4 1 1 2 1 2 4 4 0 2 4 3 3 3 2 1 1 3 3 2 2 3 1 4
 1 0 1 1 2 2 2]"
9,120.95962,"[1 0 3 0 0 2 2 4 3 1 0 4 0 1 1 4 2 4 3 2 0 1 3 4 3 2 1 0 3 1 2 1 4 2 1 2 1
 1 2 1 2 4 3 4 4 0 2 2 0 1 4 1 1 3 1 2 2 2 0 1 2 3 2 2 2 1 3 3 3 2 2 3 1 4
 4 3 1 1 2 2 4]"
10,237.08942,"[2 4 0 1 1 3 2 4 3 0 1 3 2 1 1 1 4 4 3 2 3 1 1 2 3 0 3 0 1 2 1 1 4 2 3 3 1
 1 2 0 2 3 4 3 4 3 2 4 3 3 4 1 3 2 3 2 4 2 0 2 4 3 0 0 2 1 1 3 3 2 2 3 0 2
 0 0 1 0 2 4 2]"
11,114.409904,"[2 0 0 0 4 2 2 4 3 1 2 0 0 1 1 1 4 4 2 2 1 0 1 2 3 0 1 0 1 2 1 1 4 2 1 3 1
 1 2 0 2 3 3 3 4 3 2 4 3 3 4 1 3 2 1 2 4 2 3 2 4 2 3 0 2 1 1 4 3 2 2 3 1 4
 3 0 1 1 2 2 2]"
